Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3452_1418_7214.py,9,8,8,0,1,2,4
3452_1418_6165.py,8,7,7,0,1,2,3
3452_1418_7229.py,12,10,10,0,2,2,6
3452_1418_7185.py,10,10,10,0,0,3,3
3452_1418_7188.py,8,7,7,0,1,2,3
3452_1418_5664.py,8,7,7,0,1,2,3
3452_1418_7109.py,8,8,8,0,0,2,4
3452_1418_7102.py,10,8,8,0,2,2,4
3452_1418_4646.py,8,8,8,0,0,2,4
3452_1418_7108.py,10,7,7,0,3,2,3
3452_1418_7190.py,11,8,8,0,3,2,4
3452_1418_7103.py,12,10,10,0,2,2,6
3452_1418_7107.py,11,8,8,0,3,2,4
3452_1418_3799.py,9,9,9,0,0,2,5
3452_1418_7112.py,12,9,9,0,3,2,6
3452_1418_2927.py,8,8,8,0,0,2,4
3452_1418_7111.py,11,9,9,0,2,3,5
chat_gpt.py,10,8,8,0,2,3,4
3452_1418_7101.py,7,7,7,0,0,2,3
3452_1418_5998.py,8,8,8,0,0,2,4
3452_1418_6615.py,8,8,8,0,0,2,4
3452_1418_7212.py,10,7,7,0,3,2,3
3452_1418_7171.py,14,8,8,1,5,3,4
3452_1418_7106.py,9,7,7,0,2,2,3
