Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3619_1621_7101.py,18,18,18,0,0,7
3619_1621_7105.py,21,18,18,0,3,7
3619_1621_5664.py,30,23,23,0,7,7
3619_1621_7212.py,36,19,19,0,17,7
3619_1621_2927.py,23,18,18,0,5,7
3619_1621_7107.py,35,19,19,0,16,7
3619_1621_7185.py,34,18,18,4,16,7
3619_1621_7229.py,23,19,19,0,4,7
3619_1621_6615.py,22,22,22,0,0,7
3619_1621_7106.py,26,19,19,0,7,7
3619_1621_7190.py,22,19,19,0,3,7
3619_1621_5998.py,16,16,16,0,0,7
3619_1621_3799.py,25,25,25,0,0,7
3619_1621_6165.py,21,18,18,0,3,7
3619_1621_7214.py,20,19,19,0,1,7
3619_1621_7188.py,24,20,20,0,4,7
3619_1621_7108.py,20,20,20,0,0,7
chat_gpt.py,23,12,17,1,5,1
3619_1621_7102.py,19,16,16,0,3,7
3619_1621_7103.py,26,23,23,0,3,7
3619_1621_7112.py,23,18,18,0,5,7
3619_1621_7104.py,23,18,18,0,5,7
3619_1621_7111.py,20,19,19,0,1,7
3619_1621_7171.py,22,18,18,1,3,7
